timestamps population node_ids
1237.2999999995225 LUT_TOY 0
48261.70000056536 LUT_TOY 0
48000.500000550164 LUT_TOY 0
47505.000000521315 LUT_TOY 0
47490.00000052044 LUT_TOY 0
47064.60000049568 LUT_TOY 0
47000.50000049196 LUT_TOY 0
46642.900000471134 LUT_TOY 0
46421.100000458224 LUT_TOY 0
46379.60000045581 LUT_TOY 0
46331.00000045298 LUT_TOY 0
48465.40000057722 LUT_TOY 0
46000.50000043374 LUT_TOY 0
45633.20000041236 LUT_TOY 0
45558.300000407995 LUT_TOY 0
45346.10000039566 LUT_TOY 0
45000.500000375534 LUT_TOY 0
44834.60000036588 LUT_TOY 0
44436.50000034271 LUT_TOY 0
44250.800000331896 LUT_TOY 0
44198.20000032883 LUT_TOY 0
44121.900000324385 LUT_TOY 0
44000.500000317326 LUT_TOY 0
45730.20000041801 LUT_TOY 0
43933.0000003134 LUT_TOY 0
48581.70000058399 LUT_TOY 0
48917.900000603564 LUT_TOY 0
51912.00000077784 LUT_TOY 0
51712.20000076621 LUT_TOY 0
51682.9000007645 LUT_TOY 0
51337.700000744415 LUT_TOY 0
51282.40000074119 LUT_TOY 0
51240.90000073877 LUT_TOY 0
51190.10000073582 LUT_TOY 0
51000.50000072479 LUT_TOY 0
50960.70000072246 LUT_TOY 0
50909.000000719454 LUT_TOY 0
48731.60000059271 LUT_TOY 0
50798.400000713016 LUT_TOY 0
50405.50000069015 LUT_TOY 0
50172.00000067656 LUT_TOY 0
50100.200000672376 LUT_TOY 0
50000.50000066657 LUT_TOY 0
49834.60000065692 LUT_TOY 0
49735.100000651124 LUT_TOY 0
49723.00000065042 LUT_TOY 0
49699.90000064908 LUT_TOY 0
49370.100000629885 LUT_TOY 0
49000.50000060837 LUT_TOY 0
50483.90000069472 LUT_TOY 0
43898.200000311364 LUT_TOY 0
43816.300000306604 LUT_TOY 0
43170.60000026902 LUT_TOY 0
37874.199999960736 LUT_TOY 0
37775.199999954966 LUT_TOY 0
37736.2999999527 LUT_TOY 0
37525.699999940436 LUT_TOY 0
37232.49999992338 LUT_TOY 0
